ticker,index,name
A,SP500,
AA,SP500,
AAC,RUSSELL2000,Aac Holdings Inc
AAMC,RUSSELL2000,Altisource Asset
AAOI,RUSSELL2000,Applied Optoelectronics Inc
AAON,RUSSELL2000,Aaon Inc
AAPL,SP500,
AAT,RUSSELL2000,American Assets Trust
AAVL,RUSSELL2000,Avalanche Biotechnologies Inc
AAWW,RUSSELL2000,Atlas Air Worldwide Holdings
ABAX,RUSSELL2000,Abaxis Inc
ABC,SP500,
ABCB,RUSSELL2000,Ameris Bancorp
ABCD,RUSSELL2000,Cambium Learning Group
ABCO,RUSSELL2000,The Advisory Board Company
ABCW,RUSSELL2000,Anchor Bancorp Wisconsin Inc
ABEO,RUSSELL2000,Abeona Therapeutics Inc
ABG,RUSSELL2000,Asbury Automotive Group Inc
ABM,RUSSELL2000,ABM Industries Incorporated
ABMD,RUSSELL2000,Abiomed
ABT,SP500,
ABY,RUSSELL2000,Abengoa Yield Plc
ACAD,RUSSELL2000,Acadia Pharmaceuticals Inc
ACAT,RUSSELL2000,Arctic Cat Inc
ACCO,RUSSELL2000,Acco Brands Corp
ACE,SP500,
ACET,RUSSELL2000,Aceto Corp
ACHN,RUSSELL2000,Achillion Pharmaceuticals
ACIW,RUSSELL2000,Aci Worldwide
ACLS,RUSSELL2000,Axcelis Technologies
ACN,SP500,
ACOR,RUSSELL2000,Acorda Therapeutics
ACRE,RUSSELL2000,Ares Commercial Real Estate Cor
ACTA,RUSSELL2000,Actua Corporation
ACTG,RUSSELL2000,Acacia Research Corp
ACW,RUSSELL2000,Accuride Corporation
ACXM,RUSSELL2000,Acxiom Corp
ADBE,SP500,
ADC,RUSSELL2000,Agree Realty Corp
ADI,SP500,
ADM,SP500,
ADMS,RUSSELL2000,Adamas Pharmaceuticals Inc
ADP,SP500,
ADPT,RUSSELL2000,Adeptus Health Inc
ADRO,RUSSELL2000,Aduro Biotech Inc
ADSK,SP500,
ADTN,RUSSELL2000,Adtran Inc
ADUS,RUSSELL2000,Addus Homecare Corp
ADXS,RUSSELL2000,Advaxis Inc
AE,RUSSELL2000,Adams Resources & Energy
AEE,SP500,
AEGN,RUSSELL2000,Aegoin Corp
AEGR,RUSSELL2000,Aegerion Pharmaceuticals
AEIS,RUSSELL2000,Advanced Energy Industries
AEL,RUSSELL2000,American Equity Investment Life
AEO,RUSSELL2000,American Eagle Outfitters
AEP,SP500,
AEPI,RUSSELL2000,AEP Industries Inc
AERI,RUSSELL2000,Aerie Pharmaceuticals Inc
AES,SP500,
AET,SP500,
AF,RUSSELL2000,Astoria Financial Corp
AFAM,RUSSELL2000,Almost Family Inc
